target,featurizer,model_type,split_type,rho_test,tau_test,rmse_test,rho_all_on,tau_all_on,rmse_all_on,rho_all_off,tau_all_off,rmse_all_off,rho_lib_on,tau_lib_on,rmse_lib_on,rho_lib_off,tau_lib_off,rmse_lib_off
ddr1,None,chembertadnnLOGP,random,0.5715964658445647,0.419579364328423,0.21313875393622722,-0.642906152788492,-0.4538462648164508,5.571862291000158,-0.344524886877828,-0.2470588235294118,7.719414891877821,-0.6525964199847635,-0.4635139367368046,5.111135153538552,-0.36938775510204075,-0.260204081632653,7.7215888680245195
ddr1,maccs,xgb,random,0.4131568774941438,0.2931726286470091,0.850262394431868,-0.661862840909382,-0.48563610550970665,4589.204372710286,-0.2392415948872325,-0.15463113083772873,27370.025060781907,-0.7072764275003033,-0.531531409407805,4888.171178772375,-0.2708811677590992,-0.1702128276008541,26378.791302822076
ddr1,None,chembertadnn,random,0.5607912247683692,0.4101137481827696,0.6879477044106517,-0.6569337505725644,-0.4748252909250694,4589.072669224312,-0.36271493212669675,-0.2564705882352942,27369.23992711113,-0.7341836255854644,-0.5391896815101604,4887.978585065107,-0.3849999999999999,-0.2704081632653061,26377.956287056026
ddr1,substructure,dnn,random,0.2019992461725664,0.14053750148542404,0.9146914782032411,-0.1351655301716371,-0.09291385658042373,4589.138658335693,-0.1301100256399543,-0.08925975948050362,27370.036556119292,-0.11205780865595756,-0.07413582838526728,4888.140648631589,-0.2139466364167337,-0.1439631501497389,26378.854732700358
ddr1,substructure,xgb,random,0.2088035549583572,0.14530994656935906,0.9134892327138974,-0.2954271101157978,-0.19647569301999218,4589.173323185121,-0.14654022796783492,-0.10580577811609325,27370.076725536863,-0.18021506082462685,-0.10663920529041639,4888.16503518394,-0.17458334777706863,-0.119060971353594,26378.870163054064
ddr1,maccs,knn,random,0.36602704702747296,0.2579979796173826,0.9069970803087346,-0.5399954439689838,-0.3934105529876069,4589.048739781938,-0.3721887872039885,-0.26609113377659915,27369.736230722912,-0.5679275780958907,-0.40678424189372825,4887.9891367852115,-0.44037961177788393,-0.3063830896815374,26378.520823309485
ddr1,chemberta,knn,random,0.41890527253291965,0.2979233004303964,0.8753509607092568,-0.6332240608397028,-0.4580420700381745,4589.088615206492,-0.29013574660633484,-0.207843137254902,27369.603269211882,-0.6305294090406531,-0.4554058212253736,4888.013102378418,-0.31244897959183665,-0.21938775510204078,26378.365390037965
ddr1,chemberta,dnn,random,0.4840099395839648,0.3480698638620265,0.7445676621479128,-0.6448883133449371,-0.4720280874439202,4589.073806586251,-0.30180995475113126,-0.21411764705882358,27369.669138999292,-0.7104970175078416,-0.5202707453168214,4888.103491173966,-0.3420408163265306,-0.24149659863945577,26378.451662496926
ddr1,chemberta,xgb,random,0.4160568919399888,0.2952231905765686,0.8248049080738653,-0.60562628693843,-0.4356644421889812,4589.1657794798775,-0.2195475113122172,-0.1607843137254902,27369.86219636655,-0.5501569012900868,-0.3932436023044027,4888.119095062164,-0.25663265306122446,-0.1802721088435374,26378.647687400127
ddr1,maccs,dnn,random,0.3828437032458916,0.2994368287429856,0.8327193783291608,-0.6155927487937524,-0.4525276557043079,4589.086830797126,-0.28440102591728245,-0.20172526844233454,27369.692722665357,-0.6208224763763917,-0.43826968435845065,4888.0124532254495,-0.3194161305711872,-0.22054733638377114,26378.469595094175
